Product ID,Name,Model,Description,Price,Tax Class,Categories
9281,SENCAN LED FILAMENT RUSTIK AMPUL SNC-50,SNC-50,"220-240V | 4W | 250 LM | E27 | BAL CAM | 1800K, 2200K, 2700K AMBER","28,000",KDV (%18),109
9282,SENCAN LED FILAMENT RUSTIK AMPUL SNC-37,SNC-37,220-240V | 6W | 575 LM | E27 | BAL CAM | 2500K,"26,000",KDV (%18),109
9283,SENCAN LED FILAMENT RUSTIK AMPUL SNC-210,SNC-210,220-240V | 4W | 250 LM | E27 | ŞEFFAF CAM | 2200K,"135,000",KDV (%18),108
9284,SENCAN LED FILAMENT RUSTIK AMPUL SNC-211,SNC-211,220-240V | 4W | 250 LM | E27 | ŞEFFAF CAM | 2200K,"120,000",KDV (%18),108
9285,SENCAN LED FILAMENT RUSTIK AMPUL SNC-235-2,SNC-235-2,220-240V | 4W | 250 LM | E27 | OPAL CAM,"35,000",KDV (%18),108
9286,SENCAN LED FILAMENT RUSTIK AMPUL SNC-234,SNC-234,220-240V | 6W | 575 LM | E27 | OPAL CAM | 3000K,"35,000",KDV (%18),108
9287,SENCAN LED FILAMENT RUSTIK AMPUL SNC-97,SNC-97,220-240V | 6W | 575 LM | E27 | OPAL CAM | 3000K,"32,000",KDV (%18),108
9288,SENCAN LED FILAMENT RUSTIK AMPUL SNC-45,SNC-45,220-240V | 4W | 260 LM | E27 | BAL CAM | 2700K,"29,000",KDV (%18),108
9289,SENCAN LED FILAMENT RUSTIK AMPUL SNC-31,SNC-31,220-240V | 6W | 575 LM | E27 | BAL CAM | 2500K,"26,000",KDV (%18),108
9290,SENCAN LED FILAMENT RUSTIK AMPUL SNC-81,SNC-81,"220-240V | 4W | 270 LM | E27 | BAL CAM | 1800K, 2200K, 2500K, 2700K AMBER","30,000",KDV (%18),108
9291,SENCAN LED FILAMENT RUSTIK AMPUL SNC-53,SNC-53,220-240V | 6W | 575 LM | E27 | BAL CAM | 2500K,"33,500",KDV (%18),108
9292,SENCAN LED FILAMENT RUSTIK AMPUL SNC-85,SNC-85,240V | 8W | 750 LM | E27 | BAL CAM | 2500K,"30,000",KDV (%18),108
9293,SENCAN LED FILAMENT RUSTIK AMPUL SNC-209,SNC-209,220-240V | 6W | 660 LM | E27 | 2700K,"30,000",KDV (%18),108
9294,SENCAN LED FILAMENT RUSTIK AMPUL SNC-31-2,SNC-31-2,220-240V | 6W | 660 LM | E27 | ŞEFFAF CAM | 6500K BEYAZ IŞIK,"37,500",KDV (%18),108
9295,SENCAN LED FILAMENT RUSTIK AMPUL SNC-30,SNC-30,20-240V | 4W | 250 LM | E27,"39,000",KDV (%18),108
9296,SENCAN LED FILAMENT RUSTIK AMPUL SNC-82,SNC-82,220-240V | 4W | 250 LM | E27,"43,500",KDV (%18),109
9297,SENCAN LED FILAMENT RUSTIK AMPUL SNC-86,SNC-86,"220-240V | 4W | 270 LM | E27 | BAL CAM | 1800K, 2200K, 2500K, 2700K AMBER","47,500",KDV (%18),108
9298,SENCAN LED FILAMENT RUSTIK AMPUL SNC-88,SNC-88,220-240V | 6W | 575 LM | E27 | BAL CAM | 2500K,"43,500",KDV (%18),108
9299,SENCAN LED FILAMENT RUSTIK AMPUL SNC-46,SNC-46,220-240V | 8W | 750 LM | E27 | BAL CAM | 2500K,"43,500",KDV (%18),108
9300,SENCAN LED FILAMENT RUSTIK AMPUL SNC-39,SNC-39,220-240V | 6W | 660 LM | E27 | 2700K,0.0000,KDV (%18),108
9301,SENCAN LED FILAMENT RUSTIK AMPUL SNC-232,SNC-232,220-240V | 6W | 660 LM | E27 | 6500K BEYAZ IŞIK,"63,500",KDV (%18),108
9302,SENCAN LED FILAMENT RUSTIK AMPUL SNC-233,SNC-233,220-240V | 6W | 575 LM | E27 | BAL CAM | 2500K,"92,000",KDV (%18),108
9303,SENCAN LED FILAMENT RUSTIK AMPUL SNC-52,SNC-52,220-240V | 9W | 1050 LM | E27 | OPAL CAM | 3000K,"53,000",KDV (%18),108
9304,SENCAN LED FILAMENT RUSTIK AMPUL SNC-32,SNC-32,220-240V | 9W | 1050 LM | E27 | OPAL CAM | 3000K,"61,500",KDV (%18),108
9305,SENCAN LED FILAMENT RUSTIK AMPUL SNC-T1856W-2700 K,SNC-T1856W-2700K,220-240V | 4W | 235 LM | E27 | BAL CAM | 2200K AMBER,"67,500",KDV (%18),108
9306,SENCAN LED FILAMENT RUSTIK AMPUL SNC-33,SNC-33,220-240V | 4W | E27 | BAL CAM | 2500K,"69,000",KDV (%18),108
9307,SENCAN LED FILAMENT RUSTIK AMPUL SNC-38,SNC-38,220-240V | 6W | 550 LM | E27 | BAL CAM | 2700K,"75,000",KDV (%18),108
9308,SENCAN LED FILAMENT RUSTIK AMPUL SNC-38-1,SNC-38-1,"220-240V | 6W | 575 LM | E27 | BAL CAM | 2500K, 2700K","80,000",KDV (%18),108
9309,SENCAN LED FILAMENT RUSTIK AMPUL SNC-80,SNC-80,220-240V | 8W | 7500 LM | E27 | BAL CAM | 2500K,"75,000",KDV (%18),108
9310,SENCAN LED FILAMENT RUSTIK AMPUL SNC-218,SNC-218,220-240V | 4W | 390 LM | E27 | BAL CAM | 2500K,"54,500",KDV (%18),108
9311,SENCAN LED FILAMENT RUSTIK AMPUL SNC-219,SNC-219,220-240V | 8W | 365 LM | E27 | 6500K BEYAZ IŞIK,"57,500",KDV (%18),108
9312,SENCAN LED FILAMENT RUSTIK AMPUL SNC-220,SNC-220,220-240V | 4W | 220 LM | E14 | 2700K,"5,450,000",KDV (%18),108
9313,SENCAN LED FILAMENT RUSTIK AMPUL SNC-221,SNC-221,220-240V | 4W | 220 LM | E14 | 2700K,"57,500",KDV (%18),108
9314,SENCAN LED FILAMENT RUSTIK AMPUL SNC-222,SNC-222,220-240V | 4W | 220 LM | E27 | 2700K,"54,500",KDV (%18),108
9315,SENCAN LED FILAMENT RUSTIK AMPUL SNC-223,SNC-223,220-240V | 4W | 220 LM | E27 | 2700K,"57,500",KDV (%18),108
9316,SENCAN LED FILAMENT RUSTIK AMPUL SNC-220-1,SNC-220-1,220-240V | 4W | 240 LM | E27 | 2700K,0.0000,KDV (%18),108
9317,SENCAN LED FILAMENT RUSTIK AMPUL SNC-1,SNC-1,220-240V | 9W | 630 LM | E14 | 3000K GÜN IŞIĞI,"24,000",KDV (%18),108
9318,SENCAN LED FILAMENT RUSTIK AMPUL SNC-2,SNC-2,220-240V | 9W | 630 LM | E27 | 3000K GÜN IŞIĞI,"24,000",KDV (%18),108
9319,SENCAN LED FILAMENT RUSTIK AMPUL SNC-306,SNC-306,"220-240V | 10W | E14 | 3000K, 4000K","28,000",KDV (%18),108
9320,SENCAN LED FILAMENT RUSTIK AMPUL SNC-307,SNC-307,"220-240V | 10W | 9500 LM | E27 | 3000K, 4000K","28,000",KDV (%18),108
9321,SENCAN LED FILAMENT RUSTIK AMPUL SNC-256,SNC-256,220-240V | 7W | 620 LM | E14 | 3000K,"22,000",KDV (%18),108
9322,SENCAN LED FILAMENT RUSTIK AMPUL SNC-257,SNC-257,220-240V | 7W | 620 LM | E27 | 3000K,"22,000",KDV (%18),108
9323,SENCAN LED FILAMENT RUSTIK AMPUL SNC-254,SNC-254,220-240V | 7W | 620 LM | E27 | 6500K BEYAZ IŞIK,"22,000",KDV (%18),108
9324,SENCAN LED FILAMENT RUSTIK AMPUL SNC-217,SNC-217,"220-240V | 5W | E14 | 3000K, 4000K","17,000",KDV (%18),108
9325,SENCAN LED FILAMENT RUSTIK AMPUL SNC-258,SNC-258,240V | 9W | 750 LM | G9 | 3000K,"37,500",KDV (%18),108
9326,SENCAN LED FILAMENT RUSTIK AMPUL SNC-270,SNC-270,240V | 9W | 750 LM | G9,"37,500",KDV (%18),108
9327,SENCAN LED FILAMENT RUSTIK AMPUL SNC-203,SNC-203,220-240V | 6W | 500 LM | E27 | SOFT CAM | 2700K,"193,500",KDV (%18),108
9328,SENCAN LED FILAMENT RUSTIK AMPUL SNC-284,SNC-284,220-240V | 6W | 400 LM | 3000K GÜN IŞIĞI,0.0000,KDV (%18),108
9329,SENCAN LED FILAMENT RUSTIK AMPUL SNC-287,SNC-287,"220V | 5W | G9 | 3000K, 4000K GÜN IŞIĞI","30,000",KDV (%18),108
9330,SENCAN LED FILAMENT RUSTIK AMPUL SNC-268,SNC-268,"220V | 5W | 300 LM | G9 | 3000K, 4000K, 6500K GÜN IŞIĞI",0.0000,KDV (%18),108
9331,SENCAN LED FILAMENT RUSTIK AMPUL SNC-289,SNC-289,220-240V | 7W | 420 LM | G9 | 3000K GÜN IŞIĞI,"23,000",KDV (%18),108
9332,SENCAN LED FILAMENT RUSTIK AMPUL SNC-264,SNC-264,220V | 3W | 220 LM | G9 | 3000K,"24,000",KDV (%18),108
9333,SENCAN LED FILAMENT RUSTIK AMPUL SNC-265,SNC-265,220V | 5W | 350 LM | G9 | 3000K,"28,000",KDV (%18),108
9334,SENCAN LED FILAMENT RUSTIK AMPUL SNC-263,SNC-263,220V | 3W | 220 LM | G9 | 3000K,"17,500",KDV (%18),108
9335,SENCAN LED FILAMENT RUSTIK AMPUL SNC-G-9,SNC-G-9,220V | 5W | 3500 LM | G9 | 3000K,0.0000,KDV (%18),108
9336,SENCAN LED FILAMENT RUSTIK AMPUL SNC-276,SNC-276,12V | 2W | 150 LM | 3000K GÜN IŞIĞI,"15,500",KDV (%18),108
9337,SENCAN LED FILAMENT RUSTIK AMPUL SNC-276-1,SNC-276-1,12-24V | 2W | 135 LM | 2700K GÜN IŞIĞI,"28,000",KDV (%18),108
9338,SENCAN LED FILAMENT RUSTIK AMPUL SNC-266,SNC-266,220V | 2W | 150 LM | 3000K,"13,000",KDV (%18),108
9339,SENCAN LED FILAMENT RUSTIK AMPUL SNC-266-1,SNC-266-1,220V | 3W | 210 LM | 2700K GÜN IŞIĞI,"28,000",KDV (%18),108
9340,SENCAN LED FILAMENT RUSTIK AMPUL SNC-262,SNC-262,220-240V | 2W | 140 LM | 3000K,"13,000",KDV (%18),
9341,SENCAN LED FILAMENT RUSTIK AMPUL SNC-288,SNC-288,"220-240V | 5W | 300 LM | 3000K, 4000K, 6500K ILIK BEYAZ","30,000",KDV (%18),108
9342,SENCAN LED FILAMENT RUSTIK AMPUL SNC-267,SNC-267,220-240V | 5W | 3500 LM | 6500K BEYAZ,"17,500",KDV (%18),108
9343,SENCAN LED FILAMENT RUSTIK AMPUL SNC-G4-7,SNC-G4-7,12V | 5W | 6500K BEYAZ,"19,000",KDV (%18),108
9344,SENCAN LED FILAMENT RUSTIK AMPUL SNC-G4,SNC-G4,220V | 5W | 350 LM | 3000K,"28,000",KDV (%18),108
9345,SENCAN LED FILAMENT RUSTIK AMPUL SNC-275,SNC-275,220-240V | 3W | 3000K,"24,000",KDV (%18),108
9346,SENCAN LED FILAMENT RUSTIK AMPUL SNC-205,SNC-205,220-240V | 4W | 120 LM | E27 | 2200K AMBER,"165,000",KDV (%18),109
9347,SENCAN LED FILAMENT RUSTIK AMPUL SNC-100,SNC-100,220-240V | 4W | 1700 LM | E27 | 2200K AMBER,"165,000",KDV (%18),109
